date;mesocosm_ID;fish;warming;compartment;class;order;taxa;N_l;C_mug_l;tmean15;date_c
20/04/2021;11;LB;W;phyto;cyanophyceae;NA;synechococcus sp;55401166.6666667;815.406155;16.859913405881;28
20/04/2021;11;LB;W;phyto;cyst;NA;cyst;3570.90909090909;2.31160657454545;16.859913405881;28
20/04/2021;11;LB;W;phyto;dinophyceae;NA;peridinium sp;92843.6363636364;24.2892879272727;16.859913405881;28
20/04/2021;11;LB;W;phyto;euglenophyceae;NA;euglena sp;57134.5454545455;4.80113726545455;16.859913405881;28
20/04/2021;11;LB;W;phyto;zygnematophyceae;NA;actinotaenium subglobosum;7141.81818181818;0.202113454545455;16.859913405881;28
20/04/2021;11;LB;W;phyto;zygnematophyceae;NA;cosmarium sp;21425.4545454545;7.80588943272727;16.859913405881;28
20/04/2021;11;LB;W;phyto;zygnematophyceae;NA;spiral desmid;3570.90909090909;1.52899542545455;16.859913405881;28
20/04/2021;12;SB;NW;phyto;bacillariophyceae;NA;achnanthes sp;96414.5454545455;0.341164654545455;13.0528411669368;28
20/04/2021;12;SB;NW;phyto;bacillariophyceae;NA;fragilaria sp;24996.3636363636;0.247535418181818;13.0528411669368;28
20/04/2021;12;SB;NW;phyto;bacillariophyceae;NA;nitzschia sp;3570.90909090909;6.75741696;13.0528411669368;28
20/04/2021;12;SB;NW;phyto;chlorophyceae;NA;chlorella sp;303527.272727273;0.8347;13.0528411669368;28
20/04/2021;12;SB;NW;phyto;chlorophyceae;NA;filamentous algae (col);85701.8181818182;2.45785672727273;13.0528411669368;28
20/04/2021;12;SB;NW;phyto;chlorophyceae;NA;monoraphidium sp;7141.81818181818;0.0122482181818182;13.0528411669368;28
20/04/2021;12;SB;NW;phyto;chlorophyceae;NA;oocystis sp;307098.181818182;9.16527381818182;13.0528411669368;28
20/04/2021;12;SB;NW;phyto;chlorophyceae;NA;tetraspora sp;7141.81818181818;0.0428866181818182;13.0528411669368;28
20/04/2021;12;SB;NW;phyto;chrysophyceae;NA;mallomonas sp;3570.90909090909;1.68484418181818;13.0528411669368;28
20/04/2021;12;SB;NW;phyto;cryptophyceae;NA;cryptomonas sp;7141.81818181818;0.394228363636364;13.0528411669368;28
20/04/2021;12;SB;NW;phyto;cyanophyceae;NA;chroococcus sp;439221.818181818;8.38770836363636;13.0528411669368;28
20/04/2021;12;SB;NW;phyto;cyanophyceae;NA;microcystis sp (col);11455476.3636364;164.958859636364;13.0528411669368;28
20/04/2021;12;SB;NW;phyto;cyanophyceae;NA;oscillatoria sp (col);1799738.18181818;16.9719595636364;13.0528411669368;28
20/04/2021;12;SB;NW;phyto;cyanophyceae;NA;planktolyngbia sp;3570.90909090909;0.839052938181818;13.0528411669368;28
20/04/2021;12;SB;NW;phyto;cyanophyceae;NA;synechococcus sp;41653166.6666667;430.04726;13.0528411669368;28
20/04/2021;12;SB;NW;phyto;dinophyceae;NA;peridinium sp;139265.454545455;27.1566529381818;13.0528411669368;28
20/04/2021;12;SB;NW;phyto;euglenophyceae;NA;euglena sp;7141.81818181818;0.471717090909091;13.0528411669368;28
20/04/2021;12;SB;NW;phyto;zygnematophyceae;NA;actinotaenium subglobosum;21425.4545454545;0.590985454545455;13.0528411669368;28
20/04/2021;12;SB;NW;phyto;zygnematophyceae;NA;closterium sp;3570.90909090909;0.106056;13.0528411669368;28
20/04/2021;12;SB;NW;phyto;zygnematophyceae;NA;cosmarium sp;17854.5454545455;4.36801098909091;13.0528411669368;28
20/04/2021;12;SB;NW;phyto;zygnematophyceae;NA;spiral desmid;3570.90909090909;1.02354395636364;13.0528411669368;28
20/04/2021;13;LB;W;phyto;bacillariophyceae;NA;achnanthes sp;21425.4545454545;0.334237090909091;16.6737272516786;28
20/04/2021;13;LB;W;phyto;bacillariophyceae;NA;fragilaria sp;17854.5454545455;0.151656509090909;16.6737272516786;28
20/04/2021;13;LB;W;phyto;chlorophyceae;NA;chlorella sp;446363.636363636;1.2275;16.6737272516786;28
